trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
43,False,"{'a': 0.95, 'e': 0.09916479921150474}",30,13,-10.570813591305035,"{0: 14, 1: 0, 2: 3, 3: 0, 4: 0}",1
44,False,"{'a': 0.95, 'e': 0.0942065592509295}",20,13,13.73540149437967,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
45,False,"{'a': 0.95, 'e': 0.08949623128838302}",30,19,19.92391358132975,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
46,False,"{'a': 0.95, 'e': 0.08502141972396386}",25,15,-23.233423953224104,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 1}",1
47,False,"{'a': 0.95, 'e': 0.08077034873776566}",25,8,5.6033090632258675,"{0: 15, 1: 0, 2: 2, 3: 0, 4: 0}",1
48,False,"{'a': 0.95, 'e': 0.07673183130087738}",25,8,30.389805999794582,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
49,False,"{'a': 0.95, 'e': 0.0728952397358335}",25,18,15.088530072065883,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
50,False,"{'a': 0.95, 'e': 0.06925047774904183}",20,12,15.681063101894527,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
51,False,"{'a': 0.95, 'e': 0.06578795386158974}",25,7,25.051705837737387,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
52,False,"{'a': 0.95, 'e': 0.06249855616851025}",20,12,13.988081268731033,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
53,False,"{'a': 0.95, 'e': 0.05937362836008474}",25,13,-19.89511147976664,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 1}",1
54,False,"{'a': 0.95, 'e': 0.0564049469420805}",25,8,29.944990097004755,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
55,False,"{'a': 0.95, 'e': 0.05358469959497647}",25,14,22.555761235038524,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
56,False,"{'a': 0.95, 'e': 0.050905464615227644}",25,7,30.118683996806965,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
57,False,"{'a': 0.95, 'e': 0.04836019138446626}",20,14,11.330286156187679,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
